Date,reported_I,incidence_conbined_intervention_I,incidence_conbined_intervention_I_up,incidence_conbined_intervention_I_down,incidence_simulation_I,incidence_simulation_I_up,incidence_simulation_I_down,simulation_I,simulation_I_up,simulation_I_down
2020-06-04,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2020-06-05,3,1.5,1.5,1.5,1.5,1.5,1.5,3.5,3.5,3.5
2020-06-06,5,10.749950199468397,14.244037398909999,8.67996887993028,10.749950199468397,14.244037398909999,8.67996887993028,14.249950199468397,17.74403739891,12.17996887993028
2020-06-07,15,10.602358417867642,11.517492566280255,9.403085196719479,10.602358417867642,11.517492566280255,9.403085196719479,24.85494770099646,29.281517498834816,21.587722771379735
2020-06-08,25,8.886907125365752,9.770562491781035,8.47152148965267,8.886907125365752,9.770562491781035,8.47152148965267,33.77521830892136,38.832771049708334,30.07072920598069
2020-06-09,40,10.277402900727637,11.93939695279141,9.330680787500482,10.634741403470606,12.397679551454583,9.586906490891744,44.41771668835073,51.18084571380304,39.678095204654085
2020-06-10,55,13.933106429573892,16.313491131457916,12.09841225398278,15.192612487630893,17.963491406437583,13.046641849223741,59.659073352813294,68.77783018062529,52.766325982868864
2020-06-11,67,18.083517039067605,21.04982199420338,15.551915234116242,20.998142145541134,24.624586295065903,17.882504338042988,80.71989620159279,92.98307511197694,70.8185561938609
2020-06-12,98,21.826932957572723,25.06866542021403,18.823224513188606,26.897463101814484,31.24076172228179,22.91735325844044,107.6512794593958,123.90614176351714,93.8656399278251
2020-06-13,134,25.57374372979482,29.395371585525385,22.075486335546685,34.025192692288044,39.85316868026891,28.80331071209704,141.7301211627104,163.1148633040575,122.97545747165925
2020-06-14,165,25.96319369062502,29.404185349072147,22.705784232239285,39.607601826454214,46.695543668952894,33.22618568625135,181.34879873842215,209.41169098418447,156.63761660964772
2020-06-15,180,23.717025922903353,26.503483238773992,21.045279690990508,44.489532868052244,52.70658227473534,36.90114554309304,225.84708402868472,261.83679403069476,193.9190007996581
2020-06-16,201,22.344367811119042,25.002754250046614,19.880937282057385,54.23543415269042,65.6704710792181,43.90731310105195,280.13182535460095,326.7671484922009,238.51633892048216
2020-06-17,217,20.701914932016358,23.234850886046694,18.43672896763478,66.75885469053037,82.25567039000715,52.753400171474105,346.92953290934815,408.2221913025628,292.00372040268195
2020-06-18,238,18.454099584849104,20.68900860977683,16.408596680361786,79.47568582652514,98.50515525747915,61.69903170046449,426.373908085152,506.7015636515183,354.5343764156052
2020-06-19,249,16.43045832686908,18.50605125210384,14.528501984106542,90.30836935614613,112.64361008074613,69.16919863236461,516.3719960170442,619.1732537006477,424.65708979321744
2020-06-20,262,14.95600497936171,17.006798498563185,13.102498032594477,101.74258199104892,127.92955571991524,77.20105667361283,617.8739749133706,746.4876891777358,502.283250898618
2020-06-21,275,12.718961970477778,14.604802324579769,11.006397936197258,106.15035852694415,133.95778361917763,80.06486361785026,724.132832889034,879.4447962073843,583.8500902627618
2020-06-22,282,10.267362881106127,11.983615304435977,8.726673030983973,108.79569623216787,137.88432896849048,81.09467978742963,832.76999462076,1016.309142932962,665.6177844422942
2020-06-23,285,8.731792816029943,10.288229545924779,7.355904004441052,118.99816511958633,153.19066567883434,87.67782286226365,952.018615674312,1168.9710523953088,754.7352089512284
2020-06-24,302,7.821636316624902,9.316311409449877,6.528940095969346,133.08317456652804,173.6026035686377,96.22587635505272,1085.1808464072815,1341.2797071188386,851.6007736833799
2020-06-25,305,6.865309232864162,8.283790422955342,5.657125251681799,141.561090228423,185.309629004092,101.79243791397595,1226.6540266072072,1525.7319150198045,954.3217290368535
2020-06-26,322,5.602296756274942,6.89750181751664,4.503707338923631,147.66085747830743,194.15186209146293,105.93968956322377,1373.9496115832765,1719.506172284095,1060.5234787254358
2020-06-27,329,4.4110340280427565,5.586766200449292,3.44177876658955,156.6779968749468,207.6515387203164,112.12029653221947,1531.3787421100228,1926.8828775130592,1173.0930998147278
2020-06-28,329,3.4257303511526955,4.446274507977017,2.5974530466116654,158.32697667937532,211.24614177626546,112.50270159478657,1689.1706691252746,2135.8636107362477,1287.2875050583953
2020-06-29,331,2.759543934223628,3.6604469850464594,2.0496186960157416,155.46421393525569,208.88608284395238,109.63999752852764,1844.575214885504,2341.9617086860358,1397.7307417102481
2020-06-30,331,2.2590960028226794,3.0739283586367594,1.6368160879032696,157.97224036158823,213.64990793512098,111.16748263858551,2002.6391764256869,2553.1223052267496,1511.0219850676108
2020-07-01,333,1.7451436672886629,2.487906937169592,1.2023370600269636,147.0605513348417,198.54791260405878,105.15954213335536,2149.717456693797,2749.989063907449,1617.5711632465586
2020-07-02,334,1.3305953952794796,2.019026693506617,0.869720670452254,137.23133651656576,185.45814697882022,99.55570420442024,2287.4683825458533,2933.1974423747674,1717.2699415108473
2020-07-03,334,1.0106186793755532,1.6448751954897536,0.6279865866405725,129.6953588239574,175.65577563095087,94.2851270948544,2417.862343650563,3108.760839500793,1814.5759725475166
2020-07-04,335,0.735583746765472,1.2723744852836074,0.43358808247053493,124.6972640532923,170.03942740945712,90.4748653624454,2544.517569215106,3276.9177422246125,1908.7399330145802
2020-07-05,335,0.5272120895710456,0.970499051039074,0.2948336930678613,114.94647146030599,157.94216801212147,83.18222863667107,2659.155990140568,3433.5356429623444,1994.114710413711
